Squadra;Categoria;"#0 (selfie)";"#31 (text)";"#32 (text)";"#33 (text)";"#34 (text)";"#35 (text)";"#36 (text)";"#37 (text)";"#38 (text)";"#39 (text)";"#40 (text)";"#41 (text)";"#42 (text)";"#43 (text)";"#44 (text)";"#45 (text)";"#46 (text)";"#47 (selfie)";"#48 (text)";"#49 (text)";"#50 (text)";"#51 (text)";"#52 (text)";"#53 (text)";"#54 (text)";"#55 (text)";"#56 (text)";"#57 (text)";"#58 (text)";"#59 (text)";"#60 (text)";"#61 (text)";"#62 (text)";"#63 (text)";"#64 (text)";"#65 (text)";"#66 (text)";"#67 (text)";"#68 (text)";"#69 (text)";"#70 (text)";"#71 (text)";"#72 (text)";"#100 (text)";"ULTIMO ORARIO ESATTO";"TOTALE"
"RISPOSTE ESATTE";"-";"(Foto)";"Leicester";"4";"Giorgio";"2";"Metallo";"41";"4";"3";"Giglio";"27";"Rossi";"3";"4";"Archimede";"Piccinino";"Popolare";"(Foto)";"3";"4";"16";"6";"3";"3";"Interruttori";"4";"19";"8";"7";"5";"Cromato";"2";"3";"1";"3";"1955";"TIR";"Mangia";"7";"Bottarelli";"28";"9";"Cinzia";"10";"-";"-"
"Ohana";"Ludica";"-";"-";"-";"San Giorgio ";"-";"-";"41";"-";"-";"-";"28";"Rossi";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"8";"-";"-";"-";"-";"-";"1";"-";"-";"TIR";"-";"8";"-";"-";"9";"-";"-";"11:46:46";"7"
"Luca l'esploratore";"Ludica";"(SELFIE)";"Nichi";"4";"Giorgio";"2";"Metallo";"41";"2";"2";"Giglio";"27";"Rossi";"2";"4";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"4";"16";"6";"3";"3";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"7";"-";"28";"-";"-";"-";"12:31:10";"23"
"Big Mom e Katakuri";"Ludica";"ANNULLATO";"-";"4";"Giorgio";"2";"Metallo";"41";"2";"3";"Giglio";"28";"Rossi";"3";"2";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"16";"16";"6";"3";"2";"Interruttori";"4";"19";"8";"7";"5";"Legna";"3";"3";"1";"3";"1955";"Tir";"Mangia";"7";"BOTTARELLI";"28";"9";"-";"-";"12:27:53";"33"
"Miprita";"Ludica";"(SELFIE)";"-";"4";"Giorgio";"2";"Metallo";"41";"4";"3";"Giglio";"28";"Rossi";"3";"4";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"2";"9";"9";"6";"3";"8";"Interruttori";"4";"19";"-";"7";"6";"Legno";"-";"-";"1";"-";"-";"-";"Mangia";"7";"-";"28";"9";"Cinzia";"-";"12:38:46";"28"
"1polenti";"Ludica";"-";"-";"-";"Giorgio";"-";"Metallo";"46";"-";"3";"-";"-";"Rossi";"3";"-";"Archimede";"Piccinino";"Popolare";"-";"3";"4";"16";"6";"3";"3";"-";"-";"19";"-";"7";"5";"Cemento";"-";"3";"-";"3";"1955";"-";"Mangia";"-";"Bottarelli";"28";"-";"-";"-";"12:32:44";"23"
"Veu";"Ludica";"-";"Leicester";"-";"Giorgio";"2";"Metallo";"41";"-";"3";"-";"27";"Rossi";"3";"-";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"9";"16";"6";"3";"3";"Interruttori";"4";"-";"8";"-";"-";"-";"2";"3";"1";"3";"-";"TIR";"-";"7";"-";"16";"9";"-";"-";"12:33:37";"28"
"Gimmy";"Ludica";"-";"-";"-";"-";"-";"Metallo ";"-";"-";"11";"-";"-";"-";"3";"-";"Archimede ";"Piccinino";"Popolare ";"(SELFIE)";"-";"-";"-";"4";"3";"3";"-";"4";"19";"8";"7";"5";"-";"2";"-";"-";"-";"-";"TIR";"Mangia ";"6";"-";"-";"9";"-";"-";"12:17:16";"17"
"A tutta birra";"Ludica";"(SELFIE)";"Leichester";"4";"Giorgio";"2";"Metallo";"41";"4";"1";"Giglio";"27";"Rossi";"3";"2";"Archimede";"Picinino";"Popolare";"(SELFIE)";"3";"9";"16";"6";"3";"3";"-";"-";"-";"-";"7";"5";"-";"-";"-";"-";"3";"-";"-";"Mangia";"-";"Bottarelli";"28";"-";"Cinzia";"-";"12:38:31";"26"
"9CFU";"Ludica";"(SELFIE)";"Leicester";"4";"Giorgio";"2";"Metallo ";"41";"2";"3";"Giglio";"28";"Rossi";"3";"4";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"8";"16";"6";"3";"3";"Interruttori";"4";"19";"8";"7";"5";"-";"2";"-";"1";"3";"-";"Tir";"Mangia";"7";"Bottarelli";"28";"9";"Cinzia";"-";"12:38:46";"37"
