Squadra;Categoria;"#31 (text)";"#32 (text)";"#33 (text)";"#34 (text)";"#35 (text)";"#36 (text)";"#37 (text)";"#38 (text)";"#39 (text)";"#40 (text)";"#41 (text)";"#42 (text)";"#43 (text)";"#44 (text)";"#45 (text)";"#46 (text)";"#47 (text)";"#48 (text)";"#49 (text)";"#50 (text)";"#51 (text)";"#52 (text)";"#53 (text)";"#54 (text)";"#55 (text)";"#56 (text)";"#57 (text)";"#58 (text)";"#59 (text)";"#60 (text)";"#61 (text)";"#62 (text)";"#63 (text)";"#64 (text)";"#65 (text)";"#66 (text)";"#67 (text)";"#68 (text)";"#69 (text)";"#70 (text)";"#71 (text)";"#72 (text)";"#73 (text)";"#74 (text)";"#75 (text)";"#76 (text)";"#77 (text)";"#78 (text)";"#79 (text)";"#80 (text)";"#81 (text)";"#82 (text)";"#83 (text)";"#84 (text)";"#85 (text)";"ULTIMO ORARIO ESATTO";"TOTALE"
"RISPOSTE ESATTE";"-";"MILLE";"6";"3";"18";"2";"EPARCHIA";"PIACENZA E VIGEVANO";"OSSA";"2";"818";"2";"2";"3";"GRANDE";"GIGLIO";"PACIFICO";"1";"4";"4";"MAMMA";"2";"1954";"3";"CANONICO";"INDOMITA";"VALENTINO";"2";"3";"10";"10";"MCML";"SINISTRA";"2";"3";"31";"REGVL";"5";"VERDE";"SOLVE";"ADA";"FRONS";"DOM";"POVERI";"PACIS";"LIVELLAZIONE";"NERO";"2";"2";"1";"5";"1998";"DOMVS";"WALLY";"UNICA";"4";"-";"-"
"GLASSO";"Competitiva";"Mille";"6";"3";"18";"2";"Eparchia";"Piacenza e vigevano";"Ossa";"2";"818";"5";"2";"1";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"10";"10";"Mcml";"Sinistra";"2";"3";"31";"Regvl";"48";"Verde";"Solve";"Ada";"Frons ";"Dom";"Poveri";"Pacis";"Livellazione";"NERO";"2";"2";"1";"5";"1998";"Domvs";"Wally";"Unica";"4";"17:39:30";"52"
"Jackele";"Competitiva";"Mille";"6";"3";"18";"2";"Eparchia";"Piacenza e Vigevano ";"Ossa";"2";"818";"2";"2";"3";"Grande ";"Colomba";"Pacifico ";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico ";"Indomita";"Valentino";"2";"3";"5";"2";"MCML";"Sinistra ";"2";"3";"31";"REGVL";"5";"Verde";"Solve";"Ada";"Frons";"DOM";"Poveri";"Pacis";"Livellazione ";"Nero";"2";"2";"1";"5";"1998";"DOMVS";"Wally";"Unica";"4";"17:40:10";"52"
"I Superstiti";"Competitiva";"Mille";"6";"3";"18";"1";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"4";"2";"1";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"1";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"10";"10";"MCML";"SINISTRA";"2";"3";"31";"Regvl";"5";"VERDE";"Solve";"Ada";"Frons";"DOM";"Poveri";"Pacis";"Livellazione";"NERO";"2";"2";"1";"5";"1998";"Domvs";"Wally";"Unica";"4";"16:53:31";"51"
"si vis pacem para pacem";"Competitiva";"mille ";"6";"3";"18";"1";"eparchia ";"piacenza e vigevano ";"ossa";"2";"818";"2";"2";"3";"grande ";"Giglio ";"pacifico ";"1";"4";"4";"mamma";"2";"1954";"3";"canonico ";"indomita ";"Valentino ";"2";"3";"5";"10";"mcml";"sinistra ";"2";"3";"31";"regvl";"48";"verde";"solve";"ada";"frons ";"dom";"poveri";"pacis";"ANNULLATO";"nero ";"2";"2";"1";"5";"1998";"domvs";"Wally ";"unica";"4";"16:53:39";"51"
"A Caso";"Competitiva";"Mille";"6";"3";"18";"2";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"2";"1";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"5";"10";"Mcml";"Sinistra";"2";"3";"31";"Regvl";"5";"Verde";"Solve";"Ada";"Frons ";"Dom";"Poveri";"Pacis";"Livellazione";"Nere";"2";"2";"1";"6";"1998";"Domvs";"Wally";"Unica";"4";"17:17:35";"51"
"TwoCatz";"Competitiva";"Mille";"6";"3";"18";"2";"Eparchia";"Piacenza e vigevano";"Ossa";"2";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"1";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"3";"10";"Mcml";"Sinistra";"2";"3";"31";"Regul";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"Livellazione ";"Nero";"4";"2";"1";"5";"1998";"Domvs";"Wally";"Unica";"4";"17:44:37";"51"
"Baldur’s gate";"Competitiva";"Mille";"6";"Tre";"18";"Due";"Eparchia";"Piacenza e vigevano";"Le ossa";"2";"818";"4";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino pagani";"2";"3";"10";"10";"Mcml";"Sinistra";"2";"3";"31";"Regvl";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"Livellazione";"Nero";"2";"2";"1";"2";"1998";"Domvs";"Wally";"Unica";"4";"17:43:01";"49"
"biscottine";"Competitiva";"mille";"6";"-";"18";"-";"eparchia";"piacenza e vigevano";"ossa";"2";"818";"3";"2";"3";"grande";"giglio";"pacifico";"1";"4";"4";"-";"2";"1954";"3";"canonico";"indomita";"valentino ";"2";"3";"-";"10";"MCML";"sinistra";"2";"3";"31";"Regvl";"5";"-";"solve";"ada";"frons ";"dom";"poveri";"pacis";"-";"nero";"2";"2";"1";"5";"1998";"-";"wally";"unica";"4";"17:35:24";"47"
"Beppe&Dani";"Competitiva";"Mille";"6";"3";"18";"2";"Eparchia";"Piacenza e vigevano ";"Ossa ";"2";"818";"3";"2";"3";"Grande ";"Giglio con corona ";"Pacifico";"1";"4";"4";"Mamma ";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"8";"10";"MCML";"A sinistra ";"2";"3";"31";"Regul";"43";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri ";"S. Maria pacis";"Livellazione";"Grigio scuro ";"3";"2";"1";"5";"1998";"Domus";"Wally";"Unica";"4";"17:14:36";"45"
