Squadra;Categoria;"#31 (text)";"#32 (text)";"#33 (text)";"#34 (text)";"#35 (text)";"#36 (text)";"#37 (text)";"#38 (text)";"#39 (text)";"#40 (text)";"#41 (text)";"#42 (text)";"#43 (text)";"#44 (text)";"#45 (text)";"#46 (text)";"#47 (text)";"#48 (text)";"#49 (text)";"#50 (text)";"#51 (text)";"#52 (text)";"#53 (text)";"#54 (text)";"#55 (text)";"#56 (text)";"#57 (text)";"#58 (text)";"#59 (text)";"#60 (text)";"#61 (text)";"#62 (text)";"#63 (text)";"#64 (text)";"#65 (text)";"#66 (text)";"#67 (text)";"#68 (text)";"#69 (text)";"#70 (text)";"#71 (text)";"#72 (text)";"#73 (text)";"#74 (text)";"#75 (text)";"#76 (text)";"#77 (text)";"#78 (text)";"#79 (text)";"#80 (text)";"#81 (text)";"#82 (text)";"#83 (text)";"#84 (text)";"#85 (text)";"ULTIMO ORARIO ESATTO";"TOTALE"
"RISPOSTE ESATTE";"-";"MILLE";"6";"3";"18";"2";"EPARCHIA";"PIACENZA E VIGEVANO";"OSSA";"2";"818";"2";"2";"3";"GRANDE";"GIGLIO";"PACIFICO";"1";"4";"4";"MAMMA";"2";"1954";"3";"CANONICO";"INDOMITA";"VALENTINO";"2";"3";"10";"10";"MCML";"SINISTRA";"2";"3";"31";"REGVL";"5";"VERDE";"SOLVE";"ADA";"FRONS";"DOM";"POVERI";"PACIS";"LIVELLAZIONE";"NERO";"2";"2";"1";"5";"1998";"DOMVS";"WALLY";"UNICA";"4";"-";"-"
"Luca l'esploratore";"Ludica";"Mille";"6";"3";"58";"2";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"-";"-";"Grande";"Giglio";"-";"-";"-";"-";"-";"-";"-";"-";"Canonico";"Indomita";"-";"-";"3";"-";"10";"-";"Sinistra";"2";"3";"31";"Regvl";"-";"Verde";"Solve";"-";"Renovata";"Dom";"Poveri";"Pacis";"-";"-";"2";"2";"1";"3";"1998";"-";"Wally";"Unica";"4";"17:35:43";"33"
"Cuginanza";"Ludica";"Mille";"6";"-";"-";"-";"Eparchia";"Piacenza e vigevano";"Le ossa";"-";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"-";"-";"-";"-";"1954";"3";"Canonico";"Indomita";"-";"2";"3";"-";"10";"-";"-";"2";"3";"-";"Regvl";"-";"-";"Solve";"-";"Frons";"DOM";"Poveri";"Pacis";"-";"Grigio";"-";"-";"1";"3";"1998";"-";"Wally";"-";"-";"17:58:51";"30"
"CHI CERCA TROVA";"Ludica";"MILLE";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"GRANDE";"GIGLIO";"Pacifico ";"1";"4";"4";"Mamma ";"2";"1954";"3";"Canonico";"Indomita";"VALENTINO";"2";"3";"9";"10";"MCML";"SINISTRA";"2";"3";"-";"REGVL";"5";"VERDE";"SOLVE";"Ada";"FRONS";"DOM";"Poveri";"Pacis";"Livellazione ";"NERO";"-";"2";"-";"5";"-";"-";"-";"-";"-";"18:07:45";"36"
"I nani";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Mappa Zero";"Ludica";"Mille";"6";"3";"18";"2";"EPARCHIA";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Nonna";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"10";"10";"McMl";"SINISTRA";"2";"3";"31";"REGVL";"5";"Verde";"Solve";"Ada";"Frons ";"Dom";"Poveri";"Pacis ";"Vertice";"Nero";"2";"2";"1";"5";"1998";"Secretum ";"wally ";"Unica";"4";"18:03:49";"52"
"IRGA";"Ludica";"-";"6";"-";"-";"-";"-";"PIACENZA E VIGEVANO";"OSSA";"2";"818";"3";"2";"-";"GRANDE";"GIGLIO";"-";"-";"-";"-";"-";"-";"-";"-";"-";"INDOMITA";"-";"-";"3";"-";"10";"-";"-";"2";"3";"-";"-";"-";"-";"SOLVE";"-";"FRONS";"DOM";"-";"-";"-";"NERO";"2";"-";"1";"5";"1998";"-";"ISEO";"-";"-";"17:57:02";"21"
"Mipa";"Ludica";"Mille";"6";"-";"-";"-";"-";"-";"-";"-";"818";"2";"-";"-";"Grande";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"3";"-";"-";"-";"-";"-";"-";"Arons";"Dom";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18:06:36";"8"
"I Fiutatori";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Giovaniwannabe";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
